t	w1	w2	theta1	theta2
603	2.84631	2.7117	0.316417	1.02372
604	2.84919	2.71098	0.315329	1.02313
605	2.84545	2.71403	0.309172	1.01825
606	2.8481	2.71417	0.309571	1.01837
607	2.84827	2.71236	0.309503	1.01849
608	2.85088	2.71525	0.312542	1.02102
609	2.85273	2.71378	0.311676	1.02021
610	2.85418	2.70856	0.308994	1.01737
611	2.85062	2.70475	0.312012	1.02228
612	2.85596	2.70572	0.312482	1.02408
613	2.85175	2.70247	0.315362	1.02945
614	2.85403	2.69835	0.311367	1.02684
615	2.85969	2.69709	0.306369	1.02439
616	2.8595	2.69845	0.306256	1.02417
617	2.85461	2.69674	0.306413	1.02739
618	2.85613	2.69924	0.30778	1.02829
619	2.85448	2.7016	0.305928	1.02632
620	2.85517	2.70551	0.307023	1.0267
621	2.85351	2.70402	0.307361	1.02791
622	2.85859	2.70544	0.309151	1.03031
623	2.85534	2.70502	0.308162	1.03091
624	2.85462	2.70289	0.308572	1.03204
625	2.85779	2.70421	0.30978	1.03321
626	2.85511	2.7035	0.309487	1.03412
627	2.85632	2.70729	0.311241	1.03467
628	2.85751	2.70847	0.311811	1.03479
629	2.85521	2.70686	0.312367	1.03668
630	2.85202	2.70687	0.310996	1.03666
631	2.85386	2.70755	0.311456	1.03682
