Mat1	Mat2	Mat3	Pat1	Pat2	Pat3	w0	theta0	d	q	p	w	R	theta	a	payoff	delta	elig	ztheta	gnum	inum	female	SubPop	Alive
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	1.84545	1.95106	0.341453	0.371538	1.81368	0.11002	13.1954	13.1954	66	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	1.8514	1.91391	0.337615	0.398368	1.83059	0.0651128	25.6367	25.6367	66	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	3.34708	3.39992	0.930397	0.827517	2.83201	0.0550384	-43.0475	-43.0475	67	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	3.40784	3.31028	0.871143	0.92955	2.8918	-0.101619	21.6065	21.6065	67	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	3.33897	3.36606	0.912686	0.912428	2.79921	0.0282234	-0.105773	-0.105773	68	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	3.3639	3.39459	0.881877	0.880604	2.84135	0.0319719	-0.522563	-0.522563	68	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.12142	2.06729	0.479662	0.451283	1.93464	-0.056385	-10.8617	-10.8617	69	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.05074	2.04944	0.5193	0.463528	1.87815	-0.00134887	-22.2848	-22.2848	69	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	3.30629	3.44993	0.893941	0.89384	2.70907	0.149631	-0.0456102	-0.0456102	70	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	3.34508	3.38779	0.85635	0.960845	2.75625	0.0444913	43.3406	43.3406	70	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.01746	1.98704	0.451071	0.443739	1.83652	-0.0316859	-2.86033	-2.86033	71	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.00827	2.03162	0.455063	0.412524	1.79628	0.0243189	-17.3531	-17.3531	71	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	3.21933	3.22223	0.766955	0.82341	2.73815	0.00301234	22.6363	22.6363	72	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	3.17669	3.25889	0.819541	0.777614	2.73824	0.0856203	-18.0041	-18.0041	72	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.73719	2.76609	0.470329	0.366324	2.27803	0.0301039	-42.6288	-42.6288	73	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	2.8741	2.74823	0.98169	0.950027	2.60769	-0.131111	-11.463	-11.463	73	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	3.27502	3.28131	0.944809	1.00034	2.71762	0.0065473	22.3282	22.3282	74	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	3.38427	3.46795	0.82692	0.792078	2.77038	0.0871679	-14.9815	-14.9815	74	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.8253	2.9806	0.391945	0.384484	2.4823	0.161763	-3.42798	-3.42798	75	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	2.79287	2.81547	1.01505	1.11671	2.6349	0.02354	41.4457	41.4457	75	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.67074	2.72454	0.378038	0.398918	2.15656	0.0560342	8.74392	8.74392	76	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	2.72729	2.77977	0.905531	0.920055	2.36329	0.0546695	6.07507	6.07507	76	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.0206	2.07582	0.468424	0.441702	1.84152	0.0575216	-11.2041	-11.2041	77	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.03782	2.03513	0.456263	0.469655	1.92158	-0.00280683	5.34453	5.34453	77	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.10448	2.06362	0.388558	0.400156	1.88397	-0.0425561	4.48659	4.48659	78	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	1.94556	1.97012	0.495986	0.465416	1.64613	0.0255857	-12.4833	-12.4833	78	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.71235	2.79611	0.372222	0.389051	2.3245	0.0872554	7.23704	7.23704	79	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	2.73693	2.78708	0.947715	0.973408	2.53713	0.0522453	10.7253	10.7253	79	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.12807	2.06896	0.51874	0.491623	1.92622	-0.0615781	-10.3375	-10.3375	80	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.13637	2.11124	0.51475	0.463005	1.93628	-0.0261818	-20.2734	-20.2734	80	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	3.34848	3.41595	0.878208	0.807954	2.9209	0.0702787	-29.7755	-29.7755	81	1	1	0	1
